requirement id;requirement;specification id;specification
GIH5O;Provide permissions;RJMZH;Provide Camera permissions
IOQMB;Provide callback functions to event listeners;Z2CL9;[Finger Detection] onFingerDetected - onFingerRemoved - onFingerDetectionTimeExpired
;;N44MW;[Pulse detection] onPulseDetected - onPulseDetectionTimeExpired
;;F1LHR;[Measurement initialization] onCalibrationReady - onMeasurementStart
;;WWSHM;[Measurement recording] onHeartBeat - onSampleReady - onMovementDetected - onTimeRemaining
;;NLXI2;[Measurement finalisation] onMeasurementFinished - onMeasurementProcessed
RNRC4;Provide properties;CNCJB;[Styling Settings] style
;;RMD8X;[Measurement settings] sampleTime - flashEnabled - waitForStartRecordingSignal - fingerDetectionExpiryTime
;;F2EEG;[Measurement sensors] gravEnabled - gyroEnabled - accEnabled - rotationEnabled - movementDetectionEnabled
;;C5TS7;[Graph Settings] graphBackgroundColor - drawGraph - lineColor - lineThickness - drawBackground
BSU2Q;Initialize a measurement;4ANG9;Render component
9YSOQ;Data exchange;F5FGX;Active listeners during the whole lifecycle
;;SF9KV;Active listeners before the recording
;;UUVR8;Active listeners during the recording
;;29PBT;Active listeners after the recording
;;D86A3;The provided sensor data is attached to the measurement
H3X46;Visualisations;J7FBT;Visualisations are natively rendered in the component
;;OZAWW;The visualisations will take in account the measurement settings
;;G2CQV;The visualisations will take in account the provided properties
